"Track","StartUtc","EndUtc","Points"
"2024\2024-09 - NM & CO & UT\2024-10-04 - US - Colorado - Mesa Verde - Telluride.gpx","2024-10-04T14:54:44Z","2024-10-05T00:30:45Z","23204"
"2024\2024-09 - NM & CO & UT\2024-10-05 - US - Colorado-Utah - Telluride to Moab.gpx","2024-10-05T14:26:36Z","2024-10-06T02:08:13Z","26220"
"2024\2024-09 - NM & CO & UT\2024-10-06 - US - Utah - Moab.gpx","2024-10-06T12:51:11Z","2024-10-07T04:17:09Z","41505"
"2025\2025-01 - MX - Cabo San Lucas\2025-01-19 - MX - Cabo - Whale Watching.gpx","2025-01-19T16:13:23Z","2025-01-19T22:38:45Z","18480"
"2025\2025-01 - MX - Cabo San Lucas\2025-01-20 - MX - Cabo - Food Tour.gpx","2025-01-20T18:19:19Z","2025-01-20T23:15:12Z","10500"
"2025\2025-01 - MX - Cabo San Lucas\2025-01-21 - MX - Cabo - Sunset Cruise.gpx","2025-01-21T23:45:26Z","2025-01-22T03:12:11Z","7985"
"2025\2025-03 - Australia & New Zealand\2025-03-10 - AU - Sydney - Sydney Photo Tour.gpx","2025-03-10T05:21:38Z","2025-03-10T08:25:36Z","6302"
"2025\2025-03 - Australia & New Zealand\2025-03-11 - AU - Sydney - Sydney Harbor Walk.gpx","2025-03-10T22:48:07Z","2025-03-11T01:25:42Z","5240"
"2025\2025-03 - Australia & New Zealand\2025-03-12 - AU - Sydney - Leaving Sydney Harbor.gpx","2025-03-12T05:22:12Z","2025-03-12T06:21:33Z","2585"
"2025\2025-03 - Australia & New Zealand\2025-03 - NZ Cruise - Sailing Segments.gpx","2025-03-12T09:05:51Z","2025-03-22T09:23:14Z","42515"
"2025\2025-03 - Australia & New Zealand\2025-03-16 - NZ - Otago - Dunedin Harbor Cruise.gpx","2025-03-15T20:29:46Z","2025-03-15T22:54:43Z","8033"
"2025\2025-03 - Australia & New Zealand\2025-03-19 - NZ - Napier Excursion.gpx","2025-03-18T23:42:40Z","2025-03-19T02:51:58Z","3414"
"2025\2025-03 - Australia & New Zealand\2025-03-20 - NZ - Tauranga Harbor Cruise.gpx","2025-03-19T21:06:46Z","2025-03-20T00:29:24Z","9870"
"2025\2025-03 - Australia & New Zealand\2025-03-21 - NZ - Auckland.gpx","2025-03-20T21:28:08Z","2025-03-21T10:35:58Z","18091"
"2025\2025-03 - Australia & New Zealand\2025-03-22 - NZ - Bay of Islands.gpx","2025-03-21T20:40:40Z","2025-03-22T02:07:15Z","17932"
"2025\2025-09 - Malta, Sorrento\2025-09-14 - Valletta Walking Tour.gpx","2025-09-14T07:49:55Z","2025-09-14T10:48:12Z","7250"
"2025\2025-09 - Malta, Sorrento\2025-09-17 - Malta Car Tour.gpx","2025-09-17T08:03:42Z","2025-09-17T12:54:07Z","10615"
"2025\2025-09 - Malta, Sorrento\2025-09-18 - Valletta City Walk.gpx","2025-09-18T06:50:02Z","2025-09-18T07:39:52Z","2247"
"2025\2025-09 - Malta, Sorrento\2025-09-19 - Valletta Harbor Tour.gpx","2025-09-19T07:38:28Z","2025-09-19T10:30:34Z","9520"
"2025\2025-09 - Malta, Sorrento\2025-09-20 - Rome to Sorrento Drive.gpx","2025-09-20T07:45:16Z","2025-09-20T13:52:01Z","15621"
